ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Trolley,CAMBRO,NA,NA,"kitchen type,plastic, gray",63591,piece,Operational and in good condition,Asset is Owned by LGU,"17,500.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Food Processor,imarflex,IFP-500S,NA,"5 dics attachments,stainless steel, food grade",63668,piece,Operational and in good condition,Asset is Owned by LGU,"15,000.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Chiller,Fujidenzo,SU-70A,NA,"single door , glass",63668,piece,Operational and in good condition,Asset is Owned by LGU,"51,600.00",9/3/2017,5,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,TLE Room,105,NA,Belinda LL. Ulep,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-001,set,Not working but repairable,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-002,set,Not working but repairable,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-003,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-004,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-005,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-006,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-007,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-008,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-009,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-010,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-011,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-012,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-013,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-014,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-015,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-016,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-017,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-018,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DESKTOP COMPUTERS,XITRIX,NA,NA,"xitrix core i34160 with keyboard, mouse, monitor, and avr",SRNHS-ICT-2016-019,set,Operational and in good condition,Donated by LGU,"24,250.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,HOST DESKTOP COMPUTERS,SILICON VALLEY,NA,NA,"ACER,  VERITON M200-B350",SRNHS-ICT-2018-020,set,Operational and in good condition,DepED Central Office,"115,776.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,HOST DESKTOP COMPUTERS,SILICON VALLEY,NA,NA,"ACER,  VERITON M200-B350",SRNHS-ICT-2018-021,set,Operational and in good condition,DepED Central Office,"115,776.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,HOST DESKTOP COMPUTERS,SILICON VALLEY,NA,NA,"ACER,  VERITON M200-B350",SRNHS-ICT-2018-022,set,Operational and in good condition,DepED Central Office,"115,776.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,PROJECTOR,SILICON VALLEY,X1223H,NA,ACER,SRNHS-ICT-2018-023,piece,Operational and in good condition,DepED Central Office,"17,013.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,PROJECTOR,SILICON VALLEY,X1223H,NA,ACER,SRNHS-ICT-2018-024,piece,Operational and in good condition,DepED Central Office,"17,013.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,LAPTOP,SILICON VALLEY,NA,NA,"TRAVELMATE TMP 249-G2-MG; INTELCORE i5, 2.5 GHZ, 8 GB DDR4 WITH BUILT IN CAMERA",SRNHS-ICT-2018-025,piece,Operational and in good condition,DepED Central Office,"30,638.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,LAPTOP,SILICON VALLEY,NA,NA,"TRAVELMATE TMP 249-G2-MG; INTELCORE i5, 2.5 GHZ, 8 GB DDR4 WITH BUILT IN CAMERA",SRNHS-ICT-2018-026,piece,Operational and in good condition,DepED Central Office,"30,638.00",NA,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,CHARGING/STORAGE CART,"COLUMBIA TECHNOLOGIES, INC",NA,NA,WITH MASTER KEY AND DUPLICATES AND OPERATINAL MANUAL,SRNHS-ICT-2019-027,set,Operational and in good condition,DepED Central Office,"27,950.00",8/11/2019,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,CHARGING/STORAGE CART,"COLUMBIA TECHNOLOGIES, INC",NA,NA,WITH MASTER KEY AND DUPLICATES AND OPERATINAL MANUAL,SRNHS-ICT-2019-028,set,Operational and in good condition,DepED Central Office,"27,950.00",8/11/2019,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,LAPTOP,ACER,NA,NXVGTSPO27937016BB7200,"ACER TRAVELMATE P2410-G2-M; INTEL CORE I5 8250U, 1.6GHZ, 8GB DDR4, 2TB SATA 5400 HDD",SRNHS-ICT-2019-029,piece,Operational and in good condition,DepED Central Office,"34,120.00",8/11/2019,10,Glenda M. Trinidad,SAN ROQUE NATIONAL HIGH SCHOOL,SHS Computer Laboratory,404,NA,CARLO A. RIZARE,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,,
